"1","31-May-2022","السلام عليكم ورحمه الله وبركاته","وعليكم السلام ورحمه الله وبركاته","1"
"2","31-May-2022","السلام عليكم ورحمه الله وبركاته","وعليكم السلام","1"
"3","31-May-2022","السلام عليكم","وعليكم السلام","1"
"4","31-May-2022","السلام عليكم","وعليكم السلام ورحمه الله وبركاته","1"
"5","31-May-2022","السلام عليكم","وعليكم السلام ورحمه الله","1"
"6","31-May-2022","صباح الخير","صباح النور","1"
"7","31-May-2022","مساء الخير","مساء النور","1"
"8","31-May-2022","السلام حكيم","تفضل","1"
"9","31-May-2022","السلام دكتور","وعليكم السلام تفضل","1"
"10","31-May-2022","نهارك زين","تفضل مرحبا بيك","1"
"11","31-May-2022","مرحبا","اهلا بيك","1"
"12","31-May-2022","وشراك حكيم","والله لاباس ","1"
"13","31-May-2022","كيف حالك حكيم","الحمد لله وانت","1"
"14","31-May-2022","نهارك مبروك حكيم","تربح نهارك زين","1"
"15","31-May-2022","دكتور مرانيش مليح اليوم","اهلا تفضل احكيلي وش بيك","1"
"16","31-May-2022","أيا السلام عليكم","وعليكم السلام ربي يشافيك","1"
"17","31-May-2022","ربي يعاونك حكيم","اتهلا في روحك","1"
"18","31-May-2022","السلام عليكم","تفضل وش بيك","1"
"19","31-May-2022","السلام عليكم","خير ماجابك","1"
"20","31-May-2022","السلام عليكم ","تفضل خويا","1"
"21","31-May-2022","السلام عليكم","كيفاش راك تحس روحك","1"
"22","31-May-2022","صباح الخير","تفضل وش بيك","1"
"23","31-May-2022","صباح الخير","خير ماجابك","1"
"24","31-May-2022","صباح الخير","تفضل خويا","1"
"25","31-May-2022","صباح الخير","كيفاش راك تحس روحك","1"
"26","31-May-2022","مساء الخير","تفضل وش بيك","1"
"27","31-May-2022","مساء الخير","خير ماجابك","1"
"28","31-May-2022","مساء الخير","تفضل خويا","1"
"29","31-May-2022","مساء الخير","كيفاش راك تحس روحك","1"
"30","31-May-2022","ربي يعاونك حكيم","وعليكم السلام ربي يشافيك","1"
"31","31-May-2022","ربي يعاونك حكيم","اتهلا في روحك","1"
"32","31-May-2022","دكتور مرانيش مليح اليوم","اهلا تفضل احكيلي وش بيك","1"
"33","31-May-2022","دكتور مرانيش مليح اليوم","كيفاش راك تحس روحك","1"
"34","31-May-2022","دكتور مرانيش مليح اليوم","كلمي روحك واحكيلي وش بيك","1"
"35","31-May-2022","مساء الخير","تفضل خويا وش بيك","1"
"36","31-May-2022","مساء الخير","خير ماجابك كيفاش تحس","1"
"37","31-May-2022","مساء الخير","تفضل خويا وش بيك اليوم","1"
"38","31-May-2022","مساء الخير","كيفاش راك تحس روحك","1"
"39","31-May-2022","مساء الخير","مساء النور وش بيك اليوم","1"
"40","31-May-2022","نحس روحي مش مليح اليوم دكتور","تفضل وش بيك","1"
"41","31-May-2022","نحس روحي مش مليح اليوم دكتور","خير ماجابك","1"
"42","31-May-2022","نحس روحي مش مليح اليوم دكتور","تفضل خويا","1"
"43","31-May-2022","نحس روحي مش مليح اليوم دكتور","كيفاش راك تحس روحك","1"
"44","31-May-2022","نحس روحي مش مليح اليوم دكتور","مساء النور وش بيك اليوم","1"
"45","31-May-2022","نحس روحي مش مليح اليوم دكتور","صباح الخير وش بيك اليوم","1"
